class,binSpecies,sex,n_dead,rms,ks_D,ndims,external_hazard,n_flags,flags
Aves,Casuarius casuarius,m,43,0.02947,0.09435,5,10.13,1,low_n_dead=43
Mammalia,Varecia rubra,f,329,0.01661,0.03019,4,,0,ok
Aves,Pterorhinus courtoisi,m,130,0.04996,0.08093,4,,0,ok
Aves,Podargus strigoides,m,189,0.02531,0.04646,4,,0,ok
Mammalia,Sminthopsis crassicaudata,f,171,0.0181,0.0408,4,,0,ok
Mammalia,Elephas maximus,m,87,0.03469,0.11623,5,10.399,2,low_n_dead=87; infant_spike_frac=0.64
Aves,Anas crecca,m,154,0.03182,0.05458,4,,0,ok
Mammalia,Chrysocyon brachyurus,f,475,0.03046,0.04191,4,,0,ok
Mammalia,Leontopithecus chrysomelas,f,487,0.01506,0.03484,4,,0,ok
Aves,Rhynchopsitta pachyrhyncha,f,102,0.02277,0.04943,4,,0,ok
Mammalia,Lama glama,f,1188,0.01764,0.03145,4,,0,ok
Aves,Grus canadensis,f,123,0.03814,0.06264,4,,0,ok
Aves,Bubo bubo,f,166,0.01587,0.03021,4,,0,ok
Mammalia,Panthera pardus,f,737,0.02464,0.04183,4,,0,ok
Aves,Deroptyus accipitrinus,m,49,0.02528,0.05113,4,,1,low_n_dead=49
Aves,Ocyphaps lophotes,m,136,0.01996,0.04777,4,,0,ok
Aves,Tetrao urogallus,m,175,0.03409,0.077,4,,2,infant_spike_frac=0.21; bimodal_BC=0.631
Aves,Mareca sibilatrix,m,308,0.0122,0.02076,4,,0,ok
Mammalia,Atelerix albiventris,m,873,0.01016,0.02391,4,,0,ok
Aves,Mareca penelope,f,190,0.01744,0.03445,4,,0,ok
Aves,Phaps chalcoptera,m,60,0.03491,0.08764,4,,1,low_n_dead=60
Aves,Tragopan satyra,m,122,0.01969,0.04123,4,,0,ok
Chondrichthyes,Potamotrygon motoro,m,89,0.02719,0.07455,4,,1,low_n_dead=89
Aves,Anas castanea,m,199,0.0183,0.03622,4,,0,ok
Mammalia,Dasyprocta leporina,f,412,0.00653,0.01818,4,,0,ok
Aves,Cyanoramphus novaezelandiae,f,63,0.02862,0.03574,4,,1,low_n_dead=63
Aves,Ara militaris,f,145,0.03529,0.03382,4,,0,ok
Mammalia,Capreolus capreolus,f,208,0.02895,0.04739,4,,0,ok
Aves,Branta canadensis,m,117,0.01739,0.02541,4,,0,ok
Aves,Bucorvus abyssinicus,f,61,0.04114,0.02806,5,9.33,1,low_n_dead=61
Mammalia,Chlorocebus aethiops,f,102,0.02154,0.03588,4,,0,ok
Mammalia,Procyon lotor,m,297,0.01889,0.03136,4,,0,ok
Mammalia,Suricata suricatta,f,2293,0.01244,0.02284,4,,0,ok
Aves,Grus japonensis,f,183,0.02903,0.04471,4,,0,ok
Reptilia,Pituophis melanoleucus,f,57,0.02292,0.05031,4,,1,low_n_dead=57
Mammalia,Cebuella niveiventris,f,90,0.02888,0.05041,4,,1,low_n_dead=90
Mammalia,Cynictis penicillata,f,180,0.03433,0.05687,4,,0,ok
Mammalia,Otocyon megalotis,f,109,0.01982,0.0507,4,,0,ok
Aves,Syrmaticus mikado,f,48,0.02332,0.04772,4,,1,low_n_dead=48
Mammalia,Tolypeutes matacus,m,93,0.03031,0.03818,4,,1,low_n_dead=93
Aves,Falco peregrinus,f,54,0.04139,0.08299,4,,1,low_n_dead=54
Aves,Numida meleagris,m,420,0.01608,0.02414,4,,0,ok
Aves,Aythya ferina,m,160,0.01938,0.04825,4,,0,ok
Mammalia,Leopardus geoffroyi,f,61,0.04866,0.10066,4,,1,low_n_dead=61
Reptilia,Bothriechis schlegelii,f,200,0.01485,0.02912,4,,0,ok
Aves,Asarcornis scutulata,m,129,0.02849,0.04489,4,,0,ok
Mammalia,Atelerix albiventris,f,943,0.00804,0.02038,4,,0,ok
Aves,Psittacus erithacus,f,148,0.02868,0.04209,4,,0,ok
Mammalia,Halichoerus grypus,m,43,0.03662,0.08628,4,,1,low_n_dead=43
Aves,Callonetta leucophrys,f,864,0.00744,0.01803,4,,0,ok
Mammalia,Macrotis lagotis,m,68,0.02676,0.03331,4,,1,low_n_dead=68
Mammalia,Gazella leptoceros,m,371,0.01531,0.02928,4,,0,ok
Aves,Otidiphaps nobilis,m,91,0.02516,0.03357,4,,1,low_n_dead=91
Reptilia,Phelsuma standingi,f,202,0.01582,0.02742,4,,0,ok
Mammalia,Hippotragus niger,m,742,0.04595,0.08505,4,,0,ok
Reptilia,Acrantophis dumerili,f,149,0.0336,0.056,4,,0,ok
Mammalia,Antilocapra americana,f,347,0.00945,0.01907,4,,0,ok
Aves,Anser erythropus,m,106,0.01898,0.03609,4,,0,ok
Aves,Anas flavirostris,f,88,0.05,0.06358,4,,1,low_n_dead=88
Aves,Eudocimus ruber,f,1289,0.01115,0.01967,4,,0,ok
Mammalia,Bison bonasus,f,763,0.04248,0.08846,4,,0,ok
Mammalia,Muntiacus muntjak,m,119,0.02344,0.03519,4,,0,ok
Reptilia,Paleosuchus palpebrosus,m,47,0.02961,0.06907,4,,1,low_n_dead=47
Mammalia,Herpailurus yagouaroundi,m,102,0.03911,0.07774,4,,0,ok
Aves,Spatula clypeata,f,245,0.01365,0.02843,4,,0,ok
Aves,Chenonetta jubata,f,174,0.01364,0.02366,4,,0,ok
Reptilia,Malacochersus tornieri,f,82,0.031,0.06205,4,,1,low_n_dead=82
Reptilia,Pituophis ruthveni,f,47,0.04031,0.0672,4,,1,low_n_dead=47
Mammalia,Canis lupus,m,2141,0.03248,0.06078,4,,0,ok
Mammalia,Ovis aries,m,5905,0.10235,0.19528,5,7.677,3,high_makeham_h=0.00046/d; infant_spike_frac=0.78; poor_rms=0.1024
Aves,Chalcophaps longirostris,m,78,0.01812,0.04435,4,,1,low_n_dead=78
Mammalia,Nanger granti,m,175,0.02596,0.04046,4,,0,ok
Mammalia,Lycaon pictus,m,858,0.03124,0.06553,4,,0,ok
Aves,Bucephala islandica,m,97,0.01748,0.03732,4,,2,low_n_dead=97; bimodal_BC=0.839
Aves,Merops apiaster,f,83,0.02345,0.04446,4,,1,low_n_dead=83
Aves,Geotrygon versicolor,m,60,0.02253,0.04389,4,,1,low_n_dead=60
Mammalia,Artibeus jamaicensis,m,106,0.0416,0.06039,4,,0,ok
Mammalia,Hippopotamus amphibius,m,144,0.01672,0.03378,4,,0,ok
Mammalia,Dasyprocta punctata,f,178,0.01409,0.03887,4,,0,ok
Reptilia,Acrantophis dumerili,m,115,0.038,0.05375,4,,0,ok
Mammalia,Leontocebus fuscicollis,m,92,0.02014,0.03801,4,,1,low_n_dead=92
Aves,Tyto alba,f,336,0.01313,0.02648,4,,0,ok
Aves,Anas sparsa,f,56,0.02723,0.0439,4,,1,low_n_dead=56
Aves,Anas poecilorhyncha,m,132,0.0235,0.04925,4,,0,ok
Reptilia,Python bivittatus,m,88,0.01767,0.03028,4,,1,low_n_dead=88
Mammalia,Panthera uncia,m,588,0.0337,0.05694,4,,0,ok
Mammalia,Choloepus didactylus,m,133,0.04031,0.10573,4,,0,ok
Mammalia,Equus zebra,m,138,0.02692,0.04319,4,,0,ok
Aves,Anas platyrhynchos,m,381,0.02572,0.04116,4,,0,ok
Aves,Anas erythrorhyncha,f,80,0.02837,0.04224,4,,1,low_n_dead=80
Aves,Cyanoramphus novaezelandiae,m,77,0.05387,0.06786,5,8.031,3,low_n_dead=77; high_makeham_h=0.00033/d; bimodal_BC=0.891
Aves,Anas undulata,f,211,0.01425,0.03443,4,,0,ok
Mammalia,Coendou prehensilis,f,142,0.02733,0.04389,4,,0,ok
Aves,Geronticus calvus,m,77,0.03555,0.04807,4,,1,low_n_dead=77
Reptilia,Uroplatus phantasticus,f,131,0.01816,0.04668,4,,0,ok
Mammalia,Macroscelides proboscideus,m,550,0.01333,0.01907,4,,0,ok
Mammalia,Elaphodus cephalophus,f,82,0.0207,0.04406,4,,1,low_n_dead=82
Reptilia,Aspidoscelis uniparens,f,425,0.01655,0.0259,4,,0,ok
Reptilia,Chelonoidis carbonarius,f,76,0.03652,0.04441,4,,1,low_n_dead=76
Mammalia,Elephas maximus,f,96,0.03621,0.01908,5,10.79,1,low_n_dead=96
Aves,Sibirionetta formosa,m,114,0.01499,0.03304,4,,0,ok
Aves,Burhinus grallarius,f,75,0.02548,0.06787,4,,1,low_n_dead=75
Reptilia,Crotalus adamanteus,f,52,0.02953,0.04301,4,,1,low_n_dead=52
Aves,Surnia ulula,f,109,0.02557,0.04564,4,,0,ok
Mammalia,Echinops telfairi,m,379,0.01094,0.02321,4,,0,ok
Aves,Falco cherrug,f,57,0.04145,0.07599,4,,1,low_n_dead=57
Mammalia,Vicugna pacos,f,589,0.01554,0.03093,4,,0,ok
Mammalia,Gulo gulo,m,65,0.02802,0.01965,5,9.835,1,low_n_dead=65
Aves,Gallicolumba crinigera,f,133,0.01441,0.03449,4,,0,ok
Mammalia,Ursus thibetanus,m,90,0.02017,0.05145,4,,1,low_n_dead=90
Mammalia,Cervus elaphus,f,671,0.02922,0.06647,4,,0,ok
Aves,Bucorvus leadbeateri,f,38,0.05779,0.0399,5,9.8,1,low_n_dead=38
Mammalia,Syncerus caffer,m,334,0.0443,0.08464,5,8.655,1,infant_spike_frac=0.66
Aves,Neophema pulchella,f,70,0.01827,0.03572,4,,1,low_n_dead=70
Aves,Musophaga rossae,m,66,0.02791,0.05098,4,,1,low_n_dead=66
Mammalia,Wallabia bicolor,f,118,0.03124,0.02331,4,,0,ok
Aves,Spatula cyanoptera,m,281,0.02574,0.04202,4,,0,ok
Aves,Thraupis episcopus,m,108,0.04273,0.07822,4,,0,ok
Mammalia,Mustela nigripes,m,559,0.01521,0.03214,4,,0,ok
Aves,Cariama cristata,f,108,0.02423,0.04922,4,,0,ok
Aves,Colinus virginianus,f,348,0.01872,0.0406,4,,0,ok
Mammalia,Pteropus rodricensis,m,752,0.00737,0.01382,4,,0,ok
Mammalia,Cavia magna,f,115,0.02516,0.04247,4,,0,ok
Mammalia,Choloepus didactylus,f,153,0.0205,0.03774,4,,0,ok
Aves,Struthio camelus,m,479,0.02398,0.03428,4,,0,ok
Mammalia,Capra aegagrus,f,319,0.01678,0.02364,4,,0,ok
Mammalia,Dolichotis salinicola,m,80,0.04572,0.0771,4,,1,low_n_dead=80
Mammalia,Neotragus moschatus,f,121,0.01747,0.03526,4,,0,ok
Mammalia,Mandrillus sphinx,m,416,0.03255,0.04942,4,,0,ok
Aves,Aythya collaris,f,53,0.03516,0.06995,4,,1,low_n_dead=53
Aves,Eudyptes chrysolophus,m,52,0.03345,0.06968,4,,1,low_n_dead=52
Mammalia,Erethizon dorsatum,m,110,0.02365,0.05271,4,,0,ok
Aves,Branta sandvicensis,f,548,0.00859,0.0175,4,,0,ok
Reptilia,Phelsuma klemmeri,m,58,0.04848,0.05469,4,,1,low_n_dead=58
Aves,Musophaga rossae,f,63,0.0291,0.05215,4,,1,low_n_dead=63
Aves,Agapornis roseicollis,f,85,0.03146,0.05009,4,,1,low_n_dead=85
Aves,Speculanas specularis,f,47,0.02665,0.06324,4,,1,low_n_dead=47
Mammalia,Okapia johnstoni,f,143,0.01985,0.03841,4,,0,ok
Mammalia,Mustela putorius,f,459,0.01642,0.029,4,,0,ok
Aves,Meleagris gallopavo,f,418,0.01102,0.02395,4,,0,ok
Aves,Chloephaga picta,f,107,0.01999,0.04622,4,,0,ok
Mammalia,Cervus albirostris,f,107,0.02791,0.06422,4,,0,ok
Mammalia,Pudu puda,f,334,0.01765,0.03799,4,,0,ok
Aves,Parabuteo unicinctus,f,85,0.03322,0.0447,4,,1,low_n_dead=85
Aves,Ptilinopus pulchellus,m,108,0.0277,0.0596,4,,0,ok
Mammalia,Litocranius walleri,f,334,0.01606,0.03897,4,,0,ok
Aves,Psephotellus dissimilis,m,68,0.02889,0.06052,4,,1,low_n_dead=68
Mammalia,Lynx canadensis,f,75,0.02614,0.05199,4,,1,low_n_dead=75
Aves,Tauraco leucotis,f,119,0.02011,0.03715,4,,0,ok
Aves,Anas acuta,f,466,0.0108,0.01915,4,,0,ok
Mammalia,Cervus albirostris,m,92,0.04965,0.11557,4,,1,low_n_dead=92
Mammalia,Elaphurus davidianus,m,637,0.02687,0.04198,4,,0,ok
Mammalia,Redunca fulvorufula,m,62,0.04801,0.1007,5,7.647,2,low_n_dead=62; high_makeham_h=0.00048/d
Aves,Spinus cucullatus,f,63,0.03176,0.0646,4,,1,low_n_dead=63
Mammalia,Lynx rufus,f,132,0.03123,0.06566,4,,0,ok
Aves,Eudyptes chrysocome,m,124,0.02679,0.04911,4,,0,ok
Aves,Phoenicopterus roseus,f,358,0.03401,0.01009,5,10.208,0,ok
Mammalia,Dasyprocta azarae,f,179,0.03326,0.04573,4,,0,ok
Aves,Anas luzonica,m,120,0.01842,0.03358,4,,0,ok
Aves,Ducula aenea,m,42,0.03294,0.05555,4,,1,low_n_dead=42
Mammalia,Ursus maritimus,f,180,0.01817,0.04625,4,,0,ok
Mammalia,Erythrocebus patas,f,313,0.02641,0.04333,4,,0,ok
Mammalia,Oryx leucoryx,m,1057,0.01985,0.02879,4,,0,ok
Aves,Platalea ajaja,f,476,0.0078,0.01459,4,,0,ok
Reptilia,Heloderma suspectum,f,83,0.03255,0.02325,4,,1,low_n_dead=83
Mammalia,Cavia porcellus,f,1525,0.00711,0.00929,4,,0,ok
Mammalia,Halichoerus grypus,f,40,0.04119,0.07139,4,,1,low_n_dead=40
Aves,Anser indicus,f,320,0.01076,0.02909,4,,0,ok
Aves,Spheniscus demersus,f,1553,0.02106,0.02362,4,,0,ok
Aves,Merops apiaster,m,58,0.04129,0.0613,4,,1,low_n_dead=58
Mammalia,Sus scrofa,m,1283,0.0725,0.16733,5,8.088,2,high_makeham_h=0.00031/d; infant_spike_frac=0.75
Aves,Somateria mollissima,f,448,0.01936,0.04292,4,,0,ok
Mammalia,Macaca mulatta,f,143,0.04356,0.08547,4,,0,ok
Mammalia,Equus hemionus,f,362,0.01852,0.04177,4,,0,ok
Aves,Spatula cyanoptera,f,326,0.01788,0.03511,4,,0,ok
Aves,Ducula bicolor,f,239,0.01864,0.03003,4,,0,ok
Mammalia,Rusa timorensis,m,76,0.0364,0.08623,4,,1,low_n_dead=76
Mammalia,Dama dama,f,1473,0.01833,0.02764,4,,0,ok
Aves,Phoenicopterus ruber,m,725,0.01307,0.02678,4,,0,ok
Mammalia,Colobus guereza,m,642,0.02094,0.03778,4,,0,ok
Mammalia,Prionailurus bengalensis,m,311,0.02201,0.03174,4,,0,ok
Aves,Eclectus roratus,f,228,0.01941,0.02136,4,,0,ok
Aves,Rhynchopsitta pachyrhyncha,m,100,0.02312,0.0482,4,,0,ok
Mammalia,Helogale parvula,f,274,0.02155,0.03592,4,,0,ok
Reptilia,Chilabothrus subflavus,f,178,0.01946,0.04925,4,,0,ok
Mammalia,Macaca fuscata,m,466,0.02114,0.03601,4,,0,ok
Mammalia,Hypogeomys antimena,f,156,0.01462,0.03492,4,,0,ok
Aves,Leucosarcia melanoleuca,f,82,0.02902,0.04186,4,,1,low_n_dead=82
Aves,Tragopan caboti,f,91,0.02448,0.0488,4,,1,low_n_dead=91
Mammalia,Tupaia glis,m,149,0.02269,0.04805,4,,0,ok
Aves,Thraupis episcopus,f,102,0.02475,0.0473,4,,0,ok
Mammalia,Muntiacus muntjak,f,151,0.02056,0.02226,4,,0,ok
Reptilia,Sauromalus ater,f,92,0.01707,0.0245,4,,1,low_n_dead=92
Aves,Bubo scandiacus,m,408,0.01987,0.03932,4,,0,ok
Aves,Pavo cristatus,m,714,0.01197,0.01311,4,,0,ok
Aves,Threskiornis aethiopicus,m,270,0.01664,0.03398,4,,0,ok
Reptilia,Malayopython reticulatus,f,71,0.02823,0.05039,4,,1,low_n_dead=71
Aves,Strix nebulosa,f,175,0.01778,0.05107,4,,0,ok
Amphibia,Leptodactylus fallax,m,122,0.03059,0.08433,4,,0,ok
Aves,Tadorna tadornoides,m,61,0.02744,0.07456,4,,1,low_n_dead=61
Aves,Polytelis swainsonii,m,50,0.02957,0.04112,4,,1,low_n_dead=50
Mammalia,Notomys alexis,f,165,0.03015,0.02872,4,,0,ok
Aves,Nymphicus hollandicus,m,225,0.01611,0.02956,4,,0,ok
Mammalia,Leopardus pardalis,m,219,0.0323,0.05535,4,,0,ok
Mammalia,Tragelaphus angasii,f,937,0.02454,0.04174,4,,0,ok
Mammalia,Lama guanicoe,m,406,0.03327,0.05769,4,,1,infant_spike_frac=0.20
Mammalia,Monodelphis domestica,f,178,0.01123,0.03193,4,,0,ok
Aves,Neophema pulchella,m,60,0.02562,0.0506,4,,1,low_n_dead=60
Amphibia,Dendrobates auratus,m,155,0.0192,0.02986,4,,0,ok
Aves,Lagonosticta senegala,f,74,0.04566,0.08891,4,,1,low_n_dead=74
Mammalia,Mustela sibirica,f,78,0.04022,0.06834,4,,1,low_n_dead=78
Mammalia,Muntiacus reevesi,f,815,0.01148,0.02379,4,,0,ok
Mammalia,Cebus capucinus,m,48,0.02846,0.02189,5,9.793,1,low_n_dead=48
Aves,Ara macao,f,239,0.0296,0.03469,4,,0,ok
Mammalia,Axis axis,m,1409,0.03633,0.05842,4,,0,ok
Chondrichthyes,Hypanus americanus,f,60,0.04252,0.05976,4,,2,low_n_dead=60; infant_spike_frac=0.25
Aves,Dendrocygna eytoni,m,111,0.01752,0.03614,4,,0,ok
Aves,Dendrocygna arborea,f,112,0.02596,0.03555,4,,0,ok
Mammalia,Aepyceros melampus,m,945,0.04652,0.0835,4,,0,ok
Mammalia,Rucervus duvaucelii,f,507,0.01155,0.024,4,,0,ok
Aves,Amazonetta brasiliensis,f,227,0.02514,0.02207,4,,0,ok
Aves,Neochmia ruficauda,f,69,0.01602,0.03784,4,,1,low_n_dead=69
Aves,Euphonia violacea,m,70,0.02855,0.03647,4,,1,low_n_dead=70
Mammalia,Ovis dalli,m,202,0.0286,0.05499,4,,0,ok
Mammalia,Pan troglodytes,m,357,0.01539,0.02714,4,,0,ok
Aves,Aptenodytes patagonicus,m,225,0.02126,0.03044,4,,0,ok
Mammalia,Cervus nippon,f,1323,0.01365,0.02383,4,,0,ok
Mammalia,Lemur catta,f,1959,0.01528,0.02367,4,,0,ok
Aves,Surnia ulula,m,98,0.02351,0.068,4,,1,low_n_dead=98
Aves,Anas bahamensis,m,262,0.01568,0.02692,4,,0,ok
Aves,Eudyptula minor,m,246,0.01805,0.03872,4,,0,ok
Mammalia,Petrogale xanthopus,f,216,0.01942,0.05282,4,,0,ok
Mammalia,Bos frontalis,f,104,0.03721,0.03136,4,,0,ok
Mammalia,Nasua nasua,m,705,0.02714,0.04386,4,,0,ok
Aves,Cyanoliseus patagonus,m,121,0.02426,0.04012,4,,0,ok
Aves,Grus canadensis,m,128,0.03853,0.04827,4,,0,ok
Mammalia,Damaliscus pygargus,f,653,0.01335,0.03279,4,,0,ok
Mammalia,Chlorocebus aethiops,m,116,0.03048,0.04619,4,,0,ok
Aves,Eudromia elegans,f,396,0.02235,0.04203,4,,0,ok
Mammalia,Colobus angolensis,m,54,0.03183,0.03084,5,9.386,1,low_n_dead=54
Aves,Tauraco erythrolophus,m,133,0.0307,0.06255,4,,0,ok
Mammalia,Saguinus midas,f,371,0.01411,0.02374,4,,0,ok
Aves,Tockus erythrorhynchus,m,101,0.03387,0.06567,4,,0,ok
Aves,Syrmaticus reevesii,f,149,0.02283,0.03927,4,,0,ok
Mammalia,Pongo pygmaeus,m,143,0.03254,0.04251,4,,0,ok
Mammalia,Tragelaphus angasii,m,908,0.01406,0.02663,4,,0,ok
Aves,Lathamus discolor,f,124,0.01621,0.02992,4,,0,ok
Aves,Larosterna inca,f,551,0.03667,0.0562,4,,0,ok
Aves,Dacelo leachii,f,50,0.03195,0.05584,4,,1,low_n_dead=50
Aves,Polyplectron napoleonis,f,311,0.01826,0.03827,4,,0,ok
Aves,Eudyptula minor,f,232,0.01742,0.04232,4,,0,ok
Mammalia,Equus quagga,m,926,0.03611,0.0697,4,,1,infant_spike_frac=0.24
Aves,Polytelis alexandrae,f,74,0.02215,0.04582,4,,1,low_n_dead=74
Mammalia,Eulemur macaco,m,216,0.01492,0.02482,4,,0,ok
Mammalia,Mephitis mephitis,m,259,0.02187,0.05977,4,,0,ok
Mammalia,Mephitis mephitis,f,254,0.02533,0.05761,4,,0,ok
Aves,Cardinalis cardinalis,f,51,0.03572,0.06239,4,,1,low_n_dead=51
Aves,Polyplectron bicalcaratum,m,99,0.02037,0.04498,4,,1,low_n_dead=99
Reptilia,Malacochersus tornieri,m,126,0.02299,0.0318,4,,0,ok
Mammalia,Eulemur coronatus,m,66,0.03293,0.06767,4,,1,low_n_dead=66
Aves,Callonetta leucophrys,m,863,0.01458,0.02394,4,,0,ok
Reptilia,Osteolaemus tetraspis,f,84,0.03997,0.0356,5,9.476,1,low_n_dead=84
Aves,Anseranas semipalmata,f,58,0.04713,0.0682,4,,1,low_n_dead=58
Aves,Mergellus albellus,f,192,0.01359,0.0285,4,,0,ok
Mammalia,Tremarctos ornatus,f,96,0.03444,0.01619,5,10.708,1,low_n_dead=96
Aves,Dendrocygna bicolor,f,597,0.01342,0.02561,4,,0,ok
Aves,Threskiornis aethiopicus,f,294,0.01869,0.01817,4,,0,ok
Mammalia,Cervus elaphus,m,750,0.06982,0.15075,5,7.79,2,high_makeham_h=0.00041/d; infant_spike_frac=0.57
Aves,Streptopelia turtur,m,75,0.02125,0.0447,4,,1,low_n_dead=75
Mammalia,Puma concolor,m,304,0.03064,0.08174,4,,0,ok
Mammalia,Capra falconeri,m,702,0.03916,0.05238,4,,1,infant_spike_frac=0.21
Mammalia,Eulemur fulvus,f,124,0.02277,0.03822,4,,0,ok
Aves,Scopus umbretta,f,259,0.04215,0.07878,4,,0,ok
Mammalia,Desmodus rotundus,m,257,0.0255,0.03446,4,,0,ok
Aves,Balearica pavonina,m,83,0.02479,0.04135,4,,1,low_n_dead=83
Aves,Larosterna inca,m,539,0.0342,0.054,4,,0,ok
Mammalia,Cricetus cricetus,m,387,0.0485,0.07167,5,8.337,1,high_makeham_h=0.00024/d
Aves,Merops nubicus,m,90,0.03027,0.05156,4,,1,low_n_dead=90
Mammalia,Nanger soemmerringii,m,161,0.02114,0.05346,4,,0,ok
Mammalia,Tapirus indicus,m,132,0.03527,0.05746,4,,0,ok
Mammalia,Eulemur albifrons,f,120,0.01529,0.02526,4,,0,ok
Aves,Aythya affinis,m,53,0.03544,0.06609,4,,1,low_n_dead=53
Mammalia,Colobus angolensis,f,48,0.05415,0.01561,5,9.563,1,low_n_dead=48
Aves,Ara ararauna,f,266,0.027,0.02813,4,,0,ok
Mammalia,Saguinus geoffroyi,f,117,0.0212,0.0286,4,,0,ok
Reptilia,Crotalus adamanteus,m,51,0.03622,0.07599,4,,1,low_n_dead=51
Mammalia,Mico melanurus,m,97,0.03363,0.04231,4,,1,low_n_dead=97
Aves,Netta peposaca,f,381,0.01166,0.01953,4,,0,ok
Mammalia,Helogale parvula,m,325,0.01822,0.03204,4,,0,ok
Mammalia,Macropus giganteus,m,383,0.03028,0.0513,4,,0,ok
Aves,Lophura diardi,m,56,0.02762,0.04666,4,,1,low_n_dead=56
Aves,Polyplectron napoleonis,m,332,0.02303,0.04198,4,,0,ok
Aves,Egretta garzetta,f,151,0.02501,0.05205,4,,0,ok
Aves,Leptoptilos crumenifer,m,82,0.04622,0.02442,5,9.176,1,low_n_dead=82
Mammalia,Bos gaurus,m,189,0.0283,0.03465,4,,0,ok
Reptilia,Phelsuma grandis,f,246,0.01797,0.03673,4,,0,ok
Aves,Dendrocygna viduata,f,948,0.01105,0.02044,4,,0,ok
Reptilia,Cyclura cornuta,f,96,0.02501,0.03857,4,,1,low_n_dead=96
Aves,Ramphocelus bresilius,m,79,0.03251,0.05887,4,,1,low_n_dead=79
Aves,Tadorna ferruginea,m,224,0.01999,0.04239,4,,0,ok
Mammalia,Cavia aperea,f,272,0.02675,0.06436,4,,1,infant_spike_frac=0.22
Aves,Cyanoliseus patagonus,f,118,0.02507,0.04099,4,,0,ok
Aves,Eudyptes chrysolophus,f,43,0.04232,0.06913,4,,1,low_n_dead=43
Aves,Ramphocelus carbo,m,71,0.02174,0.04211,4,,1,low_n_dead=71
Aves,Lorius lory,f,48,0.03008,0.03688,4,,1,low_n_dead=48
Mammalia,Microcebus murinus,f,376,0.01797,0.02603,4,,0,ok
Aves,Anas undulata,m,196,0.02157,0.04559,4,,0,ok
Mammalia,Hylobates lar,f,245,0.03653,0.05226,4,,0,ok
Aves,Ploceus cucullatus,m,123,0.03001,0.05113,4,,0,ok
Mammalia,Mico melanurus,f,84,0.02142,0.03501,4,,1,low_n_dead=84
Aves,Mergellus albellus,m,216,0.01666,0.03269,4,,0,ok
Aves,Lophotibis cristata,f,73,0.0373,0.04994,4,,1,low_n_dead=73
Reptilia,Petrosaurus thalassinus,f,48,0.03651,0.08305,4,,1,low_n_dead=48
Aves,Lophonetta specularioides,f,45,0.035,0.05049,4,,1,low_n_dead=45
Aves,Rhea pennata,m,239,0.02462,0.04901,4,,0,ok
Aves,Athene cunicularia,m,230,0.0238,0.05766,4,,0,ok
Aves,Strix nebulosa,m,183,0.02396,0.0414,4,,0,ok
Aves,Psittacula krameri,m,71,0.02075,0.04972,4,,1,low_n_dead=71
Aves,Anas georgica,m,64,0.02442,0.0567,5,8.704,2,low_n_dead=64; infant_spike_frac=0.25
Reptilia,Epicrates cenchria,m,87,0.02632,0.04256,4,,1,low_n_dead=87
Mammalia,Gulo gulo,f,74,0.02616,0.04711,4,,1,low_n_dead=74
Mammalia,Hydrochoerus hydrochaeris,m,1442,0.0266,0.04405,4,,0,ok
Aves,Oxyura vittata,m,56,0.04566,0.0687,5,8.421,2,low_n_dead=56; high_makeham_h=0.00022/d
Mammalia,Addax nasomaculatus,m,932,0.0236,0.03995,4,,0,ok
Mammalia,Canis aureus,m,82,0.02163,0.04802,4,,1,low_n_dead=82
Mammalia,Kobus ellipsiprymnus,f,872,0.02233,0.03638,4,,0,ok
