cohort,group,sex,n,n_dead,L,rms,arm,wall_s,rho_eta,rho_beta,rho_eps,kappa,omega,fp_mean,fp_cv,eta,beta,epsilon,k,s,beta_xc_eps
C2009,17aE2,f,136,133,875.5930720446477,0.017549457042343,removal,72.86613182770088,4.892889947658023,2.6315610147723474,0.2344101527757798,0.0025188338712741,-0.7897099965648885,1.013313012433569,0.1817992918401764,6.382058992992586e-06,0.0030054612111391,0.0002677158605519,0.0025188338712741,9.436399216472658,11.226309882957638
C2009,17aE2,m,156,143,860.9344928275323,0.0215920970252141,removal,78.55503647122532,10.331274273696716,9.735301799465963,1.0630874700692308,0.0010228465090178,-4.298484171128476,1.0159374476908285,0.2512309750315746,1.3938424130482914e-05,0.011307831060982,0.0012348064561541,0.0010228465090178,3.023485890292547,9.157573646157244
C2009,ACA,f,136,132,913.9927453561506,0.0131969280571033,removal,68.1599393049255,4.994185312646034,2.8397163448482656,0.294647271984045,0.001474582422707,-1.162826610333597,1.0066998669812597,0.2050134572670791,5.978319974904983e-06,0.0031069353222729,0.000322373753491,0.001474582422707,7.584551455707429,9.63768076224386
C2009,ACA,m,156,150,963.6472187942778,0.0193496920047914,removal,57.25339773809537,6.106839087535208,4.027598845928342,0.4163314580989567,0.0010266980939006,-2.33991278633859,1.0088427623177505,0.2145627935605792,6.576280546024512e-06,0.004179536626451,0.0004320372123523,0.0010266980939006,5.935659926533508,9.674019984747424
C2009,Control,f,280,242,878.6471338209918,0.0114384403359197,removal,72.74905804777518,4.719796024979689,2.412918702924009,0.2182398007447935,0.0011539387501407,-0.242946933846252,1.0055596524243615,0.1807697946368563,6.113560815931885e-06,0.002746174897801,0.000248381622547,0.0011539387501407,9.954688130955407,11.05627247958149
C2009,Control,m,300,295,783.2028401039694,0.0099150844276652,removal,86.08898546989076,8.807148804935967,9.8043767344526,1.3503003860289458,0.0010061711419364,-3.9997043530941,1.005376957975883,0.3275489722723794,1.4357764541054058e-05,0.0125183110075942,0.0017240749354914,0.0010061711419364,2.197795477035049,7.260885678397806
C2009,MB,f,136,135,902.558823529412,0.013835521266769,production,105.37022065394558,1.632655215547644,0.0060114195611806,0.0641736524262728,2.885121981013038,12.62692955093353,1.0031866469797432,0.1890063709761535,2.004211027919551e-06,6.660418583769714e-06,7.110190577421302e-05,2.885121981013038,19.91088125270497,0.0936742624722344
C2009,MB,m,156,146,758.1056023187741,0.0150746987446651,removal,114.87125149206258,7.843756573241776,7.925915923398211,1.0957357721522498,0.0010329500603572,-3.654199980085136,1.0048390922842296,0.3151755587864756,1.3647864279581835e-05,0.0104548969156218,0.0014453603413571,0.0010329500603572,2.555972714856452,7.23341897274202
C2009,Rapa_hi,f,136,120,1097.8045582227617,0.0304905118437295,removal,43.28721825196408,3.922114542682213,2.4683730655445952,0.0689097288970362,0.2241713049296858,-7.362034393743025,1.029348973740115,0.1101012430803614,3.25439462084118e-06,0.0022484631231087,6.277048895533318e-05,0.2241713049296858,28.73952560392661,35.82038567054581
C2009,Rapa_hi,m,156,120,904.7902022289476,0.0414569274283396,removal,65.66115562804043,7.735787270405637,8.099691448873708,0.9963585316247908,0.0274717346602465,-4.247264091541398,1.022595310369023,0.2985302321446468,9.44949806154498e-06,0.0089520105643497,0.0011012039356419,0.0274717346602465,2.7914934635753554,8.12929401594555
C2009,Rapa_lo,f,136,115,999.3251270275696,0.0309317896351807,removal,56.20474791806191,4.4003485535674045,2.207267483388624,0.2168613377084604,0.001531350734241,-0.0327084886585808,1.0093254847800075,0.1891639729080455,4.406293924061154e-06,0.0022087581145427,0.000217007790401,0.001531350734241,9.673004879789842,10.178243419101216
C2009,Rapa_lo,m,156,150,795.820117073263,0.0140905687315964,removal,86.77672735927626,6.489020392771525,7.40149878237907,1.1952729587661144,0.0010170979412917,-3.477857133390339,1.0036758960035914,0.3720540925719164,1.0245881119315784e-05,0.0093004670573032,0.0015019386078877,0.0010170979412917,2.131191498893156,6.19230839959742
C2009,Rapa_mid,f,136,116,1061.050316072375,0.0195954328854799,production,52.60367676895112,3.817523199612584,1.6334234804833774,0.1539486296472915,0.0013448761520846,1.78850646448582,1.0106621109072464,0.173869933087338,3.390858966496625e-06,0.0015394401714423,0.0001450907909976,0.0013448761520846,12.691560227886589,10.610185256118742
C2009,Rapa_mid,m,156,142,836.9491114060519,0.0329552520091316,removal,109.00037891883404,7.334278067073465,8.405791250505183,1.2664512089850593,0.0010302936684111,-3.7416776764467943,1.012662052053574,0.3538147977615494,1.0470303394804993e-05,0.0100433719756075,0.0015131758809773,0.0010302936684111,2.138406288170453,6.637279976416643
C2011,17aE2_hi,f,136,135,881.8510279111647,0.0132705167086851,removal,82.5797918799799,5.061089158105532,2.737653462226769,0.2483510045625714,0.0013548064538998,-0.8339361603903741,1.0046625333093946,0.1845380563009386,6.508089805093878e-06,0.0031044398379978,0.0002816246698162,0.0013548064538998,9.058495501941144,11.023323489464785
C2011,17aE2_hi,m,156,144,893.8200939985178,0.0173845014106414,removal,107.62466215202583,6.324112049427848,7.135500115610839,0.6455166806223263,0.1844145626638566,-6.155447582030286,1.0104936996074956,0.2738711474017178,7.91588230555817e-06,0.0079831502597911,0.0007221997860157,0.1844145626638566,3.8957610286731703,11.05393606363771
C2011,Control,f,288,281,876.0012219384624,0.0099655895882908,production,97.5196452490054,1.745754372580387,0.0691432467348258,0.0644333380771053,0.0334496620814627,12.473883296152753,1.0008989769104066,0.1833035554549792,2.274959735854217e-06,7.893053685681164e-05,7.355393629991044e-05,0.0334496620814627,20.505999288147645,1.0730973871334164
C2011,Control,m,306,294,753.6273681068388,0.0100034840785632,removal,116.24247914692388,8.917847609946138,9.848967384365755,1.3543610675988218,0.0010336874643143,-3.979768547946244,0.9994619326983968,0.3268770251153218,1.570170174560348e-05,0.0130687496250395,0.0017971229879841,0.0010336874643143,2.2049338374892105,7.272039650273778
C2011,Met,f,144,140,870.3540414912619,0.014287802964882,production,85.14625820098445,2.1649032114976903,0.3665692520925331,0.0810547336577689,0.0010018024215906,8.832085695067802,1.0076118193999009,0.1817951624089759,2.857897075789937e-06,0.0004211725741681,9.312846243453989e-05,0.0010018024215906,18.15268449007633,4.522490366081144
C2011,Met,m,162,148,793.0139576895358,0.0241238454601437,removal,80.5536213661544,8.62503140027931,8.172423822094812,0.9965842658555188,0.0010294352518017,-3.8731377307483528,1.017441694240344,0.2762158607173855,1.371510138020403e-05,0.010305523304918,0.0012567045714543,0.0010294352518017,2.9469062252656077,8.20043432562041
C2011,MetRapa,f,144,142,1036.5581998646514,0.0255411304433285,removal,66.13846620777622,4.895859903614068,2.7161362021994875,0.2575650942645689,0.0010888939312401,-1.041314434156028,1.0188067434099344,0.1906171420172617,4.556607270395519e-06,0.0026203412433128,0.0002484810735163,0.0010888939312401,8.590678866519768,10.545435940980004
C2011,MetRapa,m,162,158,889.753761706644,0.0299888119451675,removal,82.61521316086873,8.110532447569634,8.389483771991532,1.1134306272520806,0.0010552643008988,-3.8926695944258847,1.02724914322711,0.3054291101121876,1.024494663443487e-05,0.0094289950018301,0.0012513918739903,0.0010552643008988,2.5577701796192054,7.534806001067683
C2011,Prot,f,136,134,886.7296576879909,0.0194565402276116,removal,77.61983512109146,4.040286905130316,3.047645987825626,0.2133534345279517,0.2458046384808675,-4.815964352923757,1.0027433707427966,0.2029410753849842,5.138421634748204e-06,0.0034369505535338,0.0002406070809498,0.2458046384808675,9.421205230293374,14.28449462071514
C2011,Prot,m,156,155,807.8677419354837,0.015688961508665,removal,88.04156845575199,8.74766547181252,9.391484377057973,1.2665662874395571,0.0011057983259641,-3.9616178725988425,1.007779531538075,0.316879569870428,1.340329672182393e-05,0.0116250270799994,0.0015677891586624,0.0011057983259641,2.335168152879428,7.414917379526534
C2011,UDCA,f,136,133,852.7197261555468,0.0167787346448932,removal,40.25585463899188,6.484464425507063,4.689132052514623,0.527471177622487,0.0010077317366779,-2.743087966024644,1.0105176765556707,0.2353475916170758,8.917877297898533e-06,0.0054990308171424,0.0006185750856269,0.0010077317366779,4.8276782984659485,8.889835599454596
C2011,UDCA,m,156,149,780.1639024390245,0.0286652476859224,removal,49.142092746915296,8.768353683769254,8.660274484208015,1.0686970738987294,0.0010374796906378,-4.001225180418707,1.0247708727088731,0.2827562994955617,1.4406097687818952e-05,0.0111005834250128,0.0013698366081251,0.0010374796906378,2.77079509013557,8.103582105464499
C2012,ACA,f,136,136,902.7389705882356,0.0121810182312103,production,51.83848688588478,1.6375314840817288,0.043143456863031,0.0732326585082256,0.2396147350905706,10.591207542884892,1.0032402159966711,0.2012168275931306,2.0093948120491597e-06,4.779172969005456e-05,8.11227396780117e-05,0.2396147350905706,17.473907366790456,0.5891286448133666
C2012,ACA,m,156,148,845.825850682407,0.0133046243638583,removal,87.67223572498187,8.33271251971121,8.618224452334442,1.1717507291139089,0.0010198195991412,-3.799330422303547,1.004287870353875,0.3142884483056498,1.1647279313739052e-05,0.0101891239731929,0.0013853333143797,0.0010198195991412,2.463530633392279,7.354998156349892
C2012,Control,f,284,279,875.709728294504,0.0121374217093374,production,87.51954289292917,1.871241206535664,0.1948987734115474,0.0821975811400066,0.0042496134597831,9.011479651628887,1.0067982849409804,0.1986563480007622,2.4401101072248445e-06,0.000222560932138,9.386395798079264e-05,0.0042496134597831,16.642012683581886,2.371101079964597
C2012,Control,m,300,284,775.8663104636471,0.0233602576233367,removal,64.11899919807911,8.49678506215523,8.80745688558366,1.163314365250335,0.0010283884847942,-3.9190303934095874,1.0164446878653617,0.3058846278852603,1.4114998732547834e-05,0.0113517712611086,0.0014993747628443,0.0010283884847942,2.505706647367957,7.571003289113835
C2012,HBX,f,136,136,864.4338235294119,0.014114020263806,production,81.55253136809915,1.6450710721105086,0.0013859949857031,0.0646255683744547,4.337730677266213,12.706264126168003,0.9988255515200876,0.1893687224803276,2.201512533735862e-06,1.603355801192788e-06,7.476057347061438e-05,4.337730677266213,19.84668410033096,0.0214465422984349
C2012,HBX,m,156,155,788.0741935483868,0.0178828223227831,removal,88.87184065300971,7.679255441446411,7.386703066249067,1.0017105759612532,0.0010161222783255,-3.541018164974495,1.0041722185456836,0.3041868997038067,1.2364737523173993e-05,0.0093731061449806,0.0012710866364636,0.0010161222783255,2.7664147915000696,7.374089126652876
C2012,INT-767,f,136,136,877.1102941176472,0.0295777575939556,production,64.50743930693716,1.6899397567925731,0.0001000001336598,0.0567520351878166,4.999999405233079,14.887041063225178,0.9957513484944291,0.1756654394501691,2.1966598233928227e-06,1.1401089957615647e-07,6.47034193629068e-05,4.999999405233079,22.906259220958965,0.0017620537013151
C2012,INT-767,m,156,147,755.016418536856,0.0254546780103937,removal,66.88560728100128,9.299760729007543,8.909554236628727,1.0402798811108915,0.0010587627903392,-4.094738300212194,1.0217137954027966,0.2671121305628832,1.631394459795244e-05,0.0118004774702708,0.001377824184442,0.0010587627903392,2.9314715794194264,8.564574205851615
C2015,Control,f,280,274,898.5259782075262,0.0110303316441137,removal,84.21534491609782,4.956269039303932,2.604084815698265,0.2337913598150419,0.0012144222695905,-0.5387294729195357,1.001508799978097,0.1817602698633735,6.138942944697981e-06,0.0028981742084888,0.0002601943243549,0.0012144222695905,9.522456107501773,11.138498949483935
C2015,Control,m,300,264,747.1153236914145,0.0158294489162556,removal,100.03685488412157,7.191599157452028,7.598865891588789,1.1320030192430603,0.0010076335782802,-3.5362682296903376,1.002135540846923,0.3402327917068606,1.2883984233479426e-05,0.0101709410189094,0.0015151650399164,0.0010076335782802,2.36900049376231,6.712761152059421
C2015,DMAG,f,136,132,859.5202702864889,0.0151162484243884,removal,82.85172109492123,5.39594659297782,3.241416991860072,0.3313342968975962,0.001034156323939,-1.6401673489874828,1.0082866975870952,0.2065261418405622,7.303909713867885e-06,0.0037711931921973,0.0003854874728982,0.001034156323939,7.01079758847625,9.7829202174681
C2015,DMAG,m,156,152,792.0772312978738,0.0216037081761801,removal,64.27720396197401,8.430517670960874,8.636774985249547,1.134142785797711,0.0010436003689592,-3.898553343668443,1.017595868615667,0.3028216086328975,1.3437521872703387e-05,0.0109039556295509,0.0014318588402539,0.0010436003689592,2.560114485457583,7.615244829313781
C2015,Min,f,136,135,874.7597384373598,0.0127323687762442,production,59.68760385015048,2.39161560287262,0.573932180026449,0.1066535789734528,0.0011737048949749,5.830799373030436,1.0082088294666478,0.1966731201749742,3.1254589986792485e-06,0.0006561026471699,0.0001219232828021,0.0011737048949749,14.500075227629416,5.381274454646349
C2015,Min,m,156,150,762.0187908496733,0.0215488012598937,removal,66.18659962504171,8.056455941471022,8.026194431938947,1.0782764020328903,0.0010001337226761,-3.7077380657371446,1.007778173620665,0.3059836086349445,1.3874350915962724e-05,0.0105328038210048,0.0014150260006457,0.0010001337226761,2.632339601097597,7.443540836845771
C2015,MitoQ,f,136,136,892.0477941176473,0.0156367389570231,production,85.68578004301526,1.7460414408643437,0.0690593335677346,0.0641371709777396,0.0151631385351023,12.535030382669529,1.002882501494515,0.1827028240537037,2.1942105551269503e-06,7.741662949353898e-05,7.189880564771733e-05,0.0151631385351023,20.60238382207805,1.076744304666997
C2015,MitoQ,m,156,145,747.7946713283576,0.0150674039764408,removal,99.44230088288896,6.961037450664018,7.263073482521918,1.0973766509797758,0.0010143267411437,-3.4469065418994598,1.0000687201394425,0.342161257613576,1.2448276838261986e-05,0.0097126574459537,0.0014674839137733,0.0010143267411437,2.4042591067543566,6.618578476257167
C2015,Rapa_hi_continuous,f,136,136,968.5220588235296,0.0391488114748419,removal,65.09931104001589,6.880936173830427,5.462431583558856,0.6364929651901794,0.0010721080475578,-3.176725599849316,1.0230655683420282,0.2487743613119747,7.335479307353224e-06,0.0056399661048444,0.0006571796268257,0.0010721080475578,4.12126135491555,8.58207691569179
C2015,Rapa_hi_continuous,m,156,146,827.182118210238,0.0166942764414499,removal,123.68451410485432,7.817434864671598,7.782230815743088,1.0615454180531965,0.0010585328817864,-3.6489379705590506,1.008107660240197,0.3095297543258539,1.142515226164608e-05,0.0094081226424253,0.0012833273286299,0.0010585328817864,2.633865268875193,7.331038958290811
C2015,Rapa_hi_cycle,f,136,133,944.35118761137,0.0265136156629198,removal,76.71671181591228,6.261775270543802,4.4048885504431965,0.4835567104488502,0.0010031084130262,-2.63464633546029,1.0152828841334451,0.2285584874609154,7.021508331117453e-06,0.0046644602222451,0.0005120517841164,0.0010031084130262,5.174892400053247,9.109352543891823
C2015,Rapa_hi_cycle,m,159,144,812.4020656379065,0.0315444628273697,removal,106.55342215625568,7.970526976165737,10.147832441394184,1.5253574965846488,0.0010349600279321,-4.0400817297647365,1.0160870521540066,0.369356097398698,1.2076608790989818e-05,0.012491145543095,0.0018775893872043,0.0010349600279321,1.8508527868022095,6.652756789221993
C2015,Rapa_hi_start_stop,f,136,134,913.6061231635512,0.0201139585301249,removal,52.8356343859341,5.456633651908232,3.2475019839996246,0.3057755777380265,0.0010723768830033,-1.6979287943339971,1.0156187867185569,0.1941627029575216,6.537426118069818e-06,0.0035545974371915,0.0003346908147673,0.0010723768830033,7.639406205466567,10.62054075090956
C2015,Rapa_hi_start_stop,m,153,127,804.9482842067832,0.0259693428136336,removal,84.08886433602311,7.532937801315686,7.699500593096627,1.0779245614630737,0.0010534509597669,-3.648707741755561,1.0144711489664562,0.3185034479949843,1.1625949268894008e-05,0.0095652115100585,0.0013391227518737,0.0010534509597669,2.5462076752697764,7.1428937314927206
C2015,bGPA,f,136,136,886.9779411764708,0.0146376584362462,production,49.89769137604162,2.2169132763042434,0.4352133213513059,0.0974190087173143,0.0011648808991026,6.910800321879682,1.005250051057086,0.1969204269786535,2.8178837058308184e-06,0.0004906698364719,0.0001098325045018,0.0011648808991026,15.283775366002022,4.467437382925812
C2015,bGPA,m,156,140,742.6321348185596,0.0212015894727575,removal,86.15947988303378,8.071719001342624,8.993981657432332,1.2970418552292795,0.0010383145894477,-3.822638519159096,1.0022945013225788,0.339923952782781,1.4635870520756625e-05,0.0121109513522866,0.0017465469031261,0.0010383145894477,2.1904282219339546,6.934226232693512
C2016,17aE2_16m,m,156,151,880.015918803419,0.0281184151689949,removal,64.34577790321782,6.425144811738837,4.462805437409305,0.4460722247444739,0.0010052460007614,-2.802759199490765,1.0250613774418482,0.2116903695841392,8.296632698990243e-06,0.0050712780781028,0.0005068910859601,0.0010052460007614,5.682458569605567,10.00467007325049
C2016,17aE2_20m,m,159,143,833.1002300288822,0.0197608951753454,removal,78.20429216302,8.724862671920334,8.054140713960264,0.9662740892588604,0.0010373177473121,-3.820561286944645,1.0103285412563845,0.2705272525149007,1.2570833991017364e-05,0.0096676731366177,0.0011598533458877,0.0010373177473121,3.056884050164405,8.335254772419542
C2016,CC,f,136,132,879.8857352941179,0.0189682227956084,production,79.57531758304685,1.645639962372615,0.0115550039057964,0.0620768084056192,1.4060275084210592,13.068728855703782,1.002942503945428,0.1852481824653528,2.125603571799682e-06,1.313239144845782e-05,7.05509885154223e-05,1.4060275084210592,20.665124799968638,0.186140431548838
C2016,CC,m,156,138,798.5499738538833,0.0116020235321897,removal,128.21309369709343,8.23505735636684,7.009998365360498,0.8135581258555316,0.001001519583343,-3.555332551236433,1.0045914728505825,0.2559609487177577,1.2914048964752322e-05,0.0087784091101143,0.0010187942552038,0.001001519583343,3.52731891279715,8.6164689929055
C2016,Cana,f,136,136,868.4117647058827,0.0130777486255377,removal,102.35836585005744,6.088927780413936,3.736744064603635,0.3445022387892112,0.0010069888466429,-2.009508492106633,1.0007276803684353,0.1939495542906121,8.074012663831803e-06,0.0043029634287246,0.0003967037905179,0.0010069888466429,7.162726408713876,10.846791816903162
C2016,Cana,m,156,145,894.1354153575467,0.0161789855360299,production,104.72298633283935,1.6946272194563117,0.1404071361697674,0.1027915702772296,0.0050852509333473,6.877086045595532,1.0067795623930005,0.2333650170304089,2.119666733281569e-06,0.0001570311764394,0.0001149619716563,0.0050852509333473,12.664253301515796,1.3659401815838432
C2016,Control,f,304,303,870.9505689900425,0.0085956834222386,removal,81.70317869610153,4.7843379446258325,3.620335754729452,0.1777260253205862,0.2227160938198462,-6.910449835363955,1.006356991399039,0.1618091729961694,6.307174319010897e-06,0.0041567637517334,0.0002040598303146,0.2227160938198462,12.307218072474027,20.37031857432814
C2016,Control,m,303,275,764.0654235139672,0.0107629205641135,removal,114.45125495898536,7.031738746192333,6.562637516506928,0.9245896124824,0.0010317371807302,-3.2952653829092835,1.0005715269877606,0.3096942067987983,1.2044856577571387e-05,0.0085891041716363,0.001210092204186,0.0010317371807302,2.8680211749236117,7.097892327480428
C2016,GGA,f,136,136,866.948529411765,0.0164843253138613,removal,77.49914144608192,4.917460203898092,2.659728065929798,0.2394630061884307,0.0015939114131002,-0.8393695843882842,1.0141402200444731,0.1831306583921433,6.542658092375813e-06,0.0030679192313002,0.0002762136367552,0.0015939114131002,9.260447984923298,11.107052017199218
C2016,GGA,m,156,135,780.3090094138983,0.0184721921968534,removal,110.89111101813614,12.176078725140227,12.500450513990796,1.3889220979931287,0.0010157815173925,-4.616825638159301,1.0063332639271458,0.2641741580237761,1.999743090135043e-05,0.0160198720803955,0.0017799641952569,0.0010157815173925,2.512325092678797,9.000109172467525
C2016,MIF098,f,136,136,838.5073529411766,0.0206566405427593,removal,74.51832504197955,4.948871534653354,2.6697418234400287,0.2440778970671253,0.001297840804421,-0.8001791987729205,1.0095044546959169,0.1850206797202881,7.038699584431703e-06,0.0031839217796666,0.0002910861737956,0.001297840804421,9.114327658003353,10.93807286739203
C2016,MIF098,m,156,146,784.901275908961,0.0183775533366573,removal,95.31716951099224,8.337849386624596,7.702960482124752,0.9321858544418375,0.0010230034497475,-3.791127887183526,1.019747235796543,0.271560157513117,1.3533931552775867e-05,0.0098139227423274,0.0011876472660364,0.0010230034497475,3.0975941435054777,8.26333122887499
C2016,NR,f,136,134,856.0237606837607,0.0181782449166115,production,101.25025674607603,1.6470045369706248,0.0001000100383776,0.0609855146248553,4.999986144393039,13.50160384005923,1.0025967715484136,0.1836341709574968,2.247621389293902e-06,1.1683091401319901e-07,7.124278253227725e-05,4.999986144393039,21.043632306568465,0.0016398982445733
C2016,NR,m,156,145,742.6542377756815,0.0125880575599109,removal,127.76996342581695,14.616178679981015,19.30061720050691,2.0522041082066718,0.0388312974029475,-5.843730559040802,0.9978170511841158,0.2982271025292765,2.6500893474057235e-05,0.0259886986685944,0.0027633372353104,0.0388312974029475,1.8629292819758292,9.404823391262406
