binSpecies,genus,family,order,confidence,common_name
Euplectes orix,Euplectes,Ploceidae,Passeriformes,99,Red Bishop
Cercopithecus neglectus,Cercopithecus,Cercopithecidae,Primates,99,De Brazza s Monkey
Boselaphus tragocamelus,Boselaphus,Bovidae,Artiodactyla,99,Blue Bull
Tupaia belangeri,Tupaia,Tupaiidae,Scandentia,99,Chinese Treeshrew
Coendou prehensilis,Coendou,Erethizontidae,Rodentia,99,Brazilian Porcupine
Potorous tridactylus,Potorous,Potoroidae,Diprotodontia,99,Long-nosed Potoroo
Equus africanus,Equus,Equidae,Perissodactyla,99,African Ass
Psephotellus dissimilis,Psephotellus,Psittaculidae,Psittaciformes,99,Hooded Parrot
Scopus umbretta,Scopus,Scopidae,Pelecaniformes,99,Hamerkop
Casuarius casuarius,Casuarius,Casuariidae,Casuariiformes,99,Australian Cassowary
Varecia rubra,Varecia,Lemuridae,Primates,99,Red Ruffed Lemur
Pterorhinus courtoisi,Garrulax,Leiothrichidae,Passeriformes,98,Blue-crowned Laughingthrush
Podargus strigoides,Podargus,Podargidae,Caprimulgiformes,99,Tawny Frogmouth
Sminthopsis crassicaudata,Sminthopsis,Dasyuridae,Dasyuromorphia,99,Fat-tailed Dunnart
Elephas maximus,Elephas,Elephantidae,Proboscidea,99,Asian Elephant
Anas crecca,Anas,Anatidae,Anseriformes,99,COTE
Chrysocyon brachyurus,Chrysocyon,Canidae,Carnivora,99,
Lama glama,Lama,Camelidae,Artiodactyla,99,Guanaco
Leontopithecus chrysomelas,Leontopithecus,Callitrichidae,Primates,99,Golden-headed Lion Tamarin
Rhynchopsitta pachyrhyncha,Rhynchopsitta,Psittacidae,Psittaciformes,99,
Grus canadensis,Grus,Gruidae,Gruiformes,99,Sandhill Crane
Bubo bubo,Bubo,Strigidae,Strigiformes,99,
Panthera pardus,Panthera,Felidae,Carnivora,99,Black Leopard
Ocyphaps lophotes,Ocyphaps,Columbidae,Columbiformes,99,Crested Pigeon
Mareca sibilatrix,Mareca,Anatidae,Anseriformes,99,Chiloe Wigeon
Atelerix albiventris,Atelerix,Erinaceidae,Erinaceomorpha,99,African Pygmy Hedgehog
Mareca penelope,Mareca,Anatidae,Anseriformes,99,Eurasian Wigeon
Phaps chalcoptera,Phaps,Columbidae,Columbiformes,99,Common Bronzewing
Tragopan satyra,Tragopan,Phasianidae,Galliformes,99,Crimson Horned-pheasant
Potamotrygon motoro,Potamotrygon,Potamotrygonidae,Myliobatiformes,99,Black river stingray
Anas castanea,Anas,Anatidae,Anseriformes,99,Chestnut Teal
Dasyprocta leporina,Dasyprocta,Dasyproctidae,Rodentia,99,Brazilian Agouti
Ara militaris,Ara,Psittacidae,Psittaciformes,99,Military Macaw
Branta canadensis,Branta,Anatidae,Anseriformes,99,Canada Goose
Bucorvus abyssinicus,Bucorvus,Bucorvidae,Bucerotiformes,99,AGHO
Chlorocebus aethiops,Chlorocebus,Cercopithecidae,Primates,99,Grivet
Cyanoramphus novaezelandiae,Cyanoramphus,Psittacidae,Psittaciformes,99,Red-crowned Parakeet
Grus japonensis,Grus,Gruidae,Gruiformes,99,Japanese Crane
Procyon lotor,Procyon,Procyonidae,Carnivora,99,American Raccoon
Pituophis melanoleucus,Pituophis,Colubridae,,99,Bullsnake
Cebuella niveiventris,Cebuella,Callitrichidae,Primates,99,Eastern Pygmy Marmoset
Cynictis penicillata,Cynictis,Herpestidae,Carnivora,97,Yellow Mongoose
Syrmaticus mikado,Syrmaticus,Phasianidae,Galliformes,99,Mikado Pheasant
Otocyon megalotis,Otocyon,Canidae,Carnivora,99,Bat-ear Fox
Tolypeutes matacus,Tolypeutes,Dasypodidae,Cingulata,99,Azara's Domed Armadillo
Falco peregrinus,Falco,Falconidae,Falconiformes,99,Duck Hawk
Numida meleagris,Numida,Numididae,Galliformes,99,Crowned Guinea-fowl
Leopardus geoffroyi,Leopardus,Felidae,Carnivora,99,Geoffroy's Cat
Bothriechis schlegelii,Bothriechis,Viperidae,,99,Eyelash Lancehead
Asarcornis scutulata,Asarcornis,Anatidae,Anseriformes,99,White-winged Duck
Psittacus erithacus,Psittacus,Psittacidae,Psittaciformes,99,AGPA
Halichoerus grypus,Halichoerus,Phocidae,Carnivora,99,Atlantic Gray Seal
Macrotis lagotis,Macrotis,Thylacomyidae,Peramelemorphia,99,Bilby
Gazella leptoceros,Gazella,Bovidae,Artiodactyla,99,
Callonetta leucophrys,Callonetta,Anatidae,Anseriformes,99,Ringed Teal
Otidiphaps nobilis,Otidiphaps,Columbidae,Columbiformes,99,Green-naped Pheasant-pigeon
Phelsuma standingi,Phelsuma,Gekkonidae,,99,Banded Day Gecko
Acrantophis dumerili,Acrantophis,Boidae,,99,Dumeril's boa
Antilocapra americana,Antilocapra,Antilocapridae,Artiodactyla,99,American Antelope
Anser erythropus,Anser,Anatidae,Anseriformes,99,
Anas flavirostris,Anas,Anatidae,Anseriformes,97,Chilean teal
Eudocimus ruber,Eudocimus,Threskiornithidae,Pelecaniformes,99,
Muntiacus muntjak,Muntiacus,Cervidae,Artiodactyla,99,Barking Deer
Bison bonasus,Bison,Bovidae,Artiodactyla,99,European Bison
Paleosuchus palpebrosus,Paleosuchus,Alligatoridae,,99,
Herpailurus yagouaroundi,Puma,Felidae,Carnivora,98,Eyra Cat
Spatula clypeata,Spatula,Anatidae,Anseriformes,99,
Chenonetta jubata,Chenonetta,Anatidae,Anseriformes,99,Australian Wood Duck
Malacochersus tornieri,Malacochersus,Testudinidae,,99,African Pancake Tortoise
Pituophis ruthveni,Pituophis,Colubridae,,99,Louisiana Pine Snake
Canis lupus,Canis,Canidae,Carnivora,99,American Wolf
Ovis aries,Ovis,Bovidae,Artiodactyla,98,
Chalcophaps longirostris,Chalcophaps,Columbidae,Columbiformes,99,Brown-capped Emerald Dove
Nanger granti,Nanger,Bovidae,Artiodactyla,99,Grant's Gazelle
Bucephala islandica,Bucephala,Anatidae,Anseriformes,99,Barrow's Goldeneye
Merops apiaster,Merops,Meropidae,Coraciiformes,99,Bee-eater
Geotrygon versicolor,Geotrygon,Columbidae,Columbiformes,99,Crested Quail-Dove
Artibeus jamaicensis,Artibeus,Phyllostomidae,Chiroptera,99,Common Fruit Bat
Dasyprocta punctata,Dasyprocta,Dasyproctidae,Rodentia,99,Central American Agouti
Hippopotamus amphibius,Hippopotamus,Hippopotamidae,Artiodactyla,99,Cape Hippopotamus
Tyto alba,Tyto,Tytonidae,Strigiformes,99,Barn Owl
Anas sparsa,Anas,Anatidae,Anseriformes,99,ABDU
Leontocebus fuscicollis,Leontocebus,Callitrichidae,Primates,99,Andean Saddle-back Tamarin
Anas poecilorhyncha,Anas,Anatidae,Anseriformes,97,Indian Spot-billed Duck
Choloepus didactylus,Choloepus,Megalonychidae,Pilosa,99,Lesser Ante Eater | Two Toed Ant-eater
Panthera uncia,Uncia,Felidae,Carnivora,98,
Anas platyrhynchos,Anas,Anatidae,Anseriformes,99,Common Mallard
Anas undulata,Anas,Anatidae,Anseriformes,99,African Yellowbill
Geronticus calvus,Geronticus,Threskiornithidae,Pelecaniformes,99,Bald Ibis
Uroplatus phantasticus,Uroplatus,Gekkonidae,,99,Fantastic Leaf-tailed Gecko
Aspidoscelis uniparens,Aspidoscelis,Teiidae,,99,Desert Grassland Whiptail
Burhinus grallarius,Burhinus,Burhinidae,Charadriiformes,99,Bush Stone-Curlew
Chelonoidis carbonarius,Chelonoidis,Testudinidae,,99,Land Turtle
Crotalus adamanteus,Crotalus,Viperidae,,97,Eastern Diamond-back Rattlesnake
Falco cherrug,Falco,Falconidae,Falconiformes,99,Altai Falcon
Surnia ulula,Surnia,Strigidae,Strigiformes,99,Hawk Owl
Gulo gulo,Gulo,Mustelidae,Carnivora,99,Glutton
Gallicolumba crinigera,Gallicolumba,Columbidae,Columbiformes,97,Mindanao Bleeding-heart
Ursus thibetanus,Ursus,Ursidae,Carnivora,97,Asian Black Bear
Cervus elaphus,Cervus,Cervidae,Artiodactyla,99,Barbary Red Deer (barbarus)
Neophema pulchella,Neophema,Psittacidae,Psittaciformes,99,Turquoise Grass-parakeet
Syncerus caffer,Syncerus,Bovidae,Artiodactyla,99,African Buffalo
Musophaga rossae,Musophaga,Musophagidae,Musophagiformes,99,Lady Ross's turaco
Spatula cyanoptera,Spatula,Anatidae,Anseriformes,99,Cinnamon Teal
Thraupis episcopus,Thraupis,Thraupidae,Passeriformes,99,Blue Saki
Mustela nigripes,Mustela,Mustelidae,Carnivora,99,American Polecat
Cavia magna,Cavia,Caviidae,Rodentia,99,Greater Guinea Pig
Colinus virginianus,Colinus,Odontophoridae,Galliformes,99,Bobwhite Quail
Struthio camelus,Struthio,Struthionidae,Struthioniformes,99,African Ostrich
Capra aegagrus,Capra,Bovidae,Artiodactyla,98,Bezoar
Erethizon dorsatum,Erethizon,Erethizontidae,Rodentia,96,Common Porcupine
Eudyptes chrysolophus,Eudyptes,Spheniscidae,Sphenisciformes,99,Macaroni Penguin
Phelsuma klemmeri,Phelsuma,Gekkonidae,,99,Klemmer's Day Gecko
Speculanas specularis,Speculanas,Anatidae,Anseriformes,99,Bronze-winged Duck
Agapornis roseicollis,Agapornis,Psittacidae,Psittaciformes,98,Peach-faced Lovebird
Meleagris gallopavo,Meleagris,Phasianidae,Galliformes,99,American turkey
Chloephaga picta,Chloephaga,Anatidae,Anseriformes,99,Magellan Goose
Pudu puda,Pudu,Cervidae,Artiodactyla,99,Chilean Pudu
Cervus albirostris,Przewalskium,Cervidae,Artiodactyla,98,French cerf à museau blanc German Weißlippenhirsch Spanish Ciervo hociblanco Other common names Thoıold s Deer
Parabuteo unicinctus,Parabuteo,Accipitridae,Accipitriformes,99,Bay-winged Hawk
Ptilinopus pulchellus,Ptilinopus,Columbidae,Columbiformes,99,Beautiful Fruit Dove
Tauraco leucotis,Tauraco,Musophagidae,Musophagiformes,99,White-cheeked Turaco
Litocranius walleri,Litocranius,Bovidae,Artiodactyla,99,Gerenuk
Anas acuta,Anas,Anatidae,Anseriformes,99,Common Pintail
Lynx canadensis,Lynx,Felidae,Carnivora,99,Alaskan Lynx
Elaphurus davidianus,Elaphurus,Cervidae,Artiodactyla,99,Elaphure
Redunca fulvorufula,Redunca,Bovidae,Artiodactyla,99,Mountain Reedbuck
Spinus cucullatus,Spinus,Fringillidae,Passeriformes,99,Red Siskin
Lynx rufus,Lynx,Felidae,Carnivora,99,Bay Lynx
Eudyptes chrysocome,Eudyptes,Spheniscidae,Sphenisciformes,99,Rockhopper Penguin / Southern Rockhopper Penguin
Phoenicopterus roseus,Phoenicopterus,Phoenicopteridae,Phoenicopteriformes,99,European Flamingo
Ursus maritimus,Ursus,Ursidae,Carnivora,98,
Platalea ajaja,Platalea,Threskiornithidae,Pelecaniformes,99,
Heloderma suspectum,Heloderma,Helodermatidae,,99,Banded Gila Monster [cinctum]
Cavia porcellus,Cavia,Caviidae,Rodentia,99,Cavy
Anser indicus,Anser,Anatidae,Anseriformes,99,Bar-Headed Goose
Spheniscus demersus,Spheniscus,Spheniscidae,Sphenisciformes,99,AFPE
Sus scrofa,Sus,Suidae,Artiodactyla,99,Boar
Somateria mollissima,Somateria,Anatidae,Anseriformes,99,American Eider
Equus hemionus,Equus,Equidae,Perissodactyla,99,Asian wild ass
Macaca mulatta,Macaca,Cercopithecidae,Primates,99,Macaco Rhesus
Rusa timorensis,Rusa,Cervidae,Artiodactyla,99,Javan Deer
Dama dama,Dama,Cervidae,Artiodactyla,99,Common Fallow Deer
Colobus guereza,Colobus,Cercopithecidae,Primates,99,Black-and-white Colobus
Prionailurus bengalensis,Prionailurus,Felidae,Carnivora,99,Common Leopard Cat
Eclectus roratus,Eclectus,Psittacidae,Psittaciformes,99,Eclectus Parrot
Helogale parvula,Helogale,Herpestidae,Carnivora,99,Common Dwarf Mongoose
Chilabothrus subflavus,Chilabothrus,Boidae,,99,Jamaican (Yellow) Boa
Macaca fuscata,Macaca,Cercopithecidae,Primates,99,Japanese Macaque
Hypogeomys antimena,Hypogeomys,Nesomyidae,Rodentia,99,Giant Jumping Rat
Leucosarcia melanoleuca,Leucosarcia,Columbidae,Columbiformes,99,Wonga Pigeon
Tragopan caboti,Tragopan,Phasianidae,Galliformes,99,Cabot's Tragopan
Tupaia glis,Tupaia,Tupaiidae,Scandentia,99,Common Scandentian
Sauromalus ater,Sauromalus,Iguanidae,,99,Common Chuckwalla
Pavo cristatus,Pavo,Phasianidae,Galliformes,99,Asiatic peafowl
Strix nebulosa,Strix,Strigidae,Strigiformes,99,Great Gray Owl
Threskiornis aethiopicus,Threskiornis,Threskiornithidae,Pelecaniformes,99,ASIB
Leptodactylus fallax,Leptodactylus,Leptodactylidae,Anura,99,Crapaud
Polytelis swainsonii,Polytelis,Psittacidae,Psittaciformes,99,Barraband Parakeet
Notomys alexis,Notomys,Muridae,Rodentia,99,Spinefex Hopping Mouse
Tragelaphus angasii,Tragelaphus,Bovidae,Artiodactyla,98,Nyala
Leopardus pardalis,Leopardus,Felidae,Carnivora,99,Jaguarete'i
Lama guanicoe,Lama,Camelidae,Artiodactyla,98,Guanaco
Lagonosticta senegala,Lagonosticta,Estrildidae,Passeriformes,99,RBFI
Monodelphis domestica,Monodelphis,Didelphidae,Didelphimorphia,99,Brazilian Bare-tailed Opossum
Dendrobates auratus,Dendrobates,Dendrobatidae,Anura,99,Dart Poison Frog
Mustela sibirica,Mustela,Mustelidae,Carnivora,99,Siberian Mink
Cebus capucinus,Cebus,Cebidae,Primates,99,Colombian White-faced Capuchin
Hypanus americanus,Hypanus,Dasyatidae,Myliobatiformes,99,
Dendrocygna eytoni,Dendrocygna,Anatidae,Anseriformes,99,Grass Whistling Duck
Rucervus duvaucelii,Rucervus,Cervidae,Artiodactyla,99,Barasingha
Neochmia ruficauda,Neochmia,Estrildidae,Passeriformes,99,Star Finch
Euphonia violacea,Euphonia,Fringillidae,Passeriformes,99,Violaceous Euphonia
Dendrocygna arborea,Dendrocygna,Anatidae,Anseriformes,99,Black-billed Wood-duck
Cervus nippon,Cervus,Cervidae,Artiodactyla,99,Japanese Deer
Anas bahamensis,Anas,Anatidae,Anseriformes,99,Bahama Pintail
Aptenodytes patagonicus,Aptenodytes,Spheniscidae,Sphenisciformes,99,King Penguin
Eudyptula minor,Eudyptula,Spheniscidae,Sphenisciformes,99,Blue Penguin
Nasua nasua,Nasua,Procyonidae,Carnivora,99,Brown-nosed Coati
Damaliscus pygargus,Damaliscus,Bovidae,Artiodactyla,99,Blesbok/Bontebok
Cyanoliseus patagonus,Cyanoliseus,Psittacidae,Psittaciformes,99,Burrowing Parakeet
Colobus angolensis,Colobus,Cercopithecidae,Primates,99,Angola Colobus
Tauraco erythrolophus,Tauraco,Musophagidae,Musophagiformes,99,RCTU
Tockus erythrorhynchus,Tockus,Bucerotidae,Bucerotiformes,99,NRBH
Pongo pygmaeus,Pongo,Hominidae,Primates,99,Bornean Orangutan
Syrmaticus reevesii,Syrmaticus,Phasianidae,Galliformes,99,Reeves' pheasant
Polyplectron napoleonis,Polyplectron,Phasianidae,Galliformes,99,Napoleon's Peacock-pheasant
Larosterna inca,Larosterna,Laridae,Charadriiformes,99,Inca Tern
Lathamus discolor,Lathamus,Psittacidae,Psittaciformes,98,Swift Parrot
Equus quagga,Equus,Equidae,Perissodactyla,98,Burchell's Zebra
Eulemur macaco,Eulemur,Lemuridae,Primates,99,Black Lemur
Cardinalis cardinalis,Cardinalis,Cardinalidae,Passeriformes,99,Cardinal
Mephitis mephitis,Mephitis,Mephitidae,Carnivora,99,Alaska Sable
Polyplectron bicalcaratum,Polyplectron,Phasianidae,Galliformes,99,Burmese Peacock-pheasant
Mergellus albellus,Mergellus,Anatidae,Anseriformes,99,
Eulemur coronatus,Eulemur,Lemuridae,Primates,99,Crowned Lemur
Osteolaemus tetraspis,Osteolaemus,Crocodylidae,,99,African Dwarf Crocodile
Tremarctos ornatus,Tremarctos,Ursidae,Carnivora,99,Andean Bear
Streptopelia turtur,Streptopelia,Columbidae,Columbiformes,99,Eurasian Turtle Dove
Puma concolor,Puma,Felidae,Carnivora,99,American Lion
Eulemur fulvus,Eulemur,Lemuridae,Primates,99,Brown Lemur
Capra falconeri,Capra,Bovidae,Artiodactyla,99,Astor Markhor
Desmodus rotundus,Desmodus,Phyllostomidae,Chiroptera,99,Common Vampire Bat
Aythya affinis,Aythya,Anatidae,Anseriformes,99,Lesser Scaup
Ara ararauna,Ara,Psittacidae,Psittaciformes,99,Blue-And-Yellow Macaw
Merops nubicus,Merops,Meropidae,Coraciiformes,99,NCBE
Tapirus indicus,Acrocodia,Tapiridae,Perissodactyla,98,Asian Tapir
Eulemur albifrons,Eulemur,Lemuridae,Primates,99,Lêmure marrom de testa branca
Balearica pavonina,Balearica,Gruidae,Gruiformes,99,BCCR
Mico melanurus,Mico,Callitrichidae,Primates,99,Black-tailed Marmoset
Saguinus geoffroyi,Saguinus,Callitrichidae,Primates,99,Geoffroy s Tamarin
Netta peposaca,Netta,Anatidae,Anseriformes,99,
Macropus giganteus,Macropus,Macropodidae,Diprotodontia,99,Eastern Gray Kangaroo
Lophura diardi,Lophura,Phasianidae,Galliformes,99,Diard's Fireback
Dendrocygna viduata,Dendrocygna,Anatidae,Anseriformes,99,
Leptoptilos crumenifer,Leptoptilos,Ciconiidae,Ciconiiformes,98,Marabou Stork
Bos gaurus,Bos,Bovidae,Artiodactyla,98,Gaur
Phelsuma grandis,Phelsuma,Gekkonidae,,99,Giant Madagascar Day Gecko
Ramphocelus bresilius,Ramphocelus,Thraupidae,Passeriformes,96,Brazilian Tanager
Microcebus murinus,Microcebus,Cheirogaleidae,Primates,99,Gray Mouse Lemur
Cyclura cornuta,Cyclura,Iguanidae,,99,Hispaniolan Rhinoceros Iguana
Cavia aperea,Cavia,Caviidae,Rodentia,99,Brazilian Cavy
Lophotibis cristata,Lophotibis,Threskiornithidae,Pelecaniformes,99,Crested Wood Ibis
Tadorna ferruginea,Tadorna,Anatidae,Anseriformes,99,
Ploceus cucullatus,Ploceus,Ploceidae,Passeriformes,99,Black-headed Weaver
Lorius lory,Lorius,Psittacidae,Psittaciformes,99,Black-capped Lory
Lophonetta specularioides,Lophonetta,Anatidae,Anseriformes,99,Crested Duck
Hylobates lar,Hylobates,Hylobatidae,Primates,99,Central Lar Gibbon (entelloides)
Petrosaurus thalassinus,Petrosaurus,Phrynosomatidae,,99,Baja Blue Rock Lizard
Rhea pennata,Rhea,Rheidae,Rheiformes,99,Darwin's Rhea
Epicrates cenchria,Epicrates,Boidae,,99,Brazilian Rainbow Boa
Anas georgica,Anas,Anatidae,Anseriformes,99,Georgian teal
Psittacula krameri,Psittacula,Psittacidae,Psittaciformes,99,Indian Ringneck
Athene cunicularia,Athene,Strigidae,Strigiformes,99,Burrowing Owl
Hydrochoerus hydrochaeris,Hydrochoerus,Caviidae,Rodentia,99,Capybara
Oxyura vittata,Oxyura,Anatidae,Anseriformes,99,Argentine Blue-bill
Cuniculus paca,Cuniculus,Cuniculidae,Rodentia,99,
Addax nasomaculatus,Addax,Bovidae,Artiodactyla,99,Adaxe
Canis aureus,Canis,Canidae,Carnivora,99,Asian Jackal
Tamandua tetradactyla,Tamandua,Myrmecophagidae,Pilosa,99,Collared Anteater
Tragelaphus imberbis,Tragelaphus,Bovidae,Artiodactyla,99,Lesser Kudu
Oena capensis,Oena,Columbidae,Columbiformes,99,NADO
Chauna torquata,Chauna,Anhimidae,Anseriformes,99,Crested Screamer
Lampropeltis abnorma,Lampropeltis,Colubridae,,99,Central American Milksnake
Ambystoma mexicanum,Ambystoma,Ambystomatidae,Caudata,99,Axolote
Neochen jubata,Neochen,Anatidae,Anseriformes,99,Orinoco Goose
Varecia variegata,Varecia,Lemuridae,Primates,99,Black and White Ruffed Lemur
Psephotus haematonotus,Psephotus,Psittacidae,Psittaciformes,99,Grass Parrot
Grus vipio,Grus,Gruidae,Gruiformes,99,Japanese white-naped crane
Aix galericulata,Aix,Anatidae,Anseriformes,99,
Polihierax semitorquatus,Polihierax,Falconidae,Falconiformes,99,African Pygmy Falcon
Callipepla californica,Callipepla,Odontophoridae,Galliformes,99,California Quail
Giraffa camelopardalis,Giraffa,Giraffidae,Artiodactyla,99,Giraffa
Clemmys guttata,Clemmys,Emydidae,,99,Spotted Turtle
Eunectes murinus,Eunectes,Boidae,,99,Anaconda
Nettapus auritus,Nettapus,Anatidae,Anseriformes,99,APGO
Geronticus eremita,Geronticus,Threskiornithidae,Pelecaniformes,99,Bald Ibis
Aythya americana,Aythya,Anatidae,Anseriformes,99,
Gonyosoma oxycephalum,Gonyosoma,Colubridae,,99,Arboreal Rat Snake
Melursus ursinus,Melursus,Ursidae,Carnivora,99,Bear-Sloth
Cygnus atratus,Cygnus,Anatidae,Anseriformes,99,Black Swan
Ateles geoffroyi,Ateles,Atelidae,Primates,99,Black-browed Spider Monkey (frontatus)
Mus musculus,Mus,Muridae,Rodentia,99,Eastern House Mouse
Pavo muticus,Pavo,Phasianidae,Galliformes,99,Green Peacock
Burhinus oedicnemus,Burhinus,Burhinidae,Charadriiformes,99,
Philantomba monticola,Philantomba,Bovidae,Artiodactyla,99,Blue Duiker
Connochaetes taurinus,Connochaetes,Bovidae,Artiodactyla,99,Blouwildebees
Colius striatus,Colius,Coliidae,Coliiformes,99,Bar-breasted Mousebird
Trioceros jacksonii,Trioceros,Chamaeleonidae,,99,Jackson's Chameleon
Sarcophilus harrisii,Sarcophilus,Dasyuridae,Dasyuromorphia,99,Bear Devil
Callithrix penicillata,Callithrix,Callitrichidae,Primates,99,Black-penciled Marmoset
Rousettus aegyptiacus,Rousettus,Pteropodidae,Chiroptera,99,Egyptian Fruit Bat
Gyps fulvus,Gyps,Accipitridae,Accipitriformes,99,EUGR
Tadorna tadorna,Tadorna,Anatidae,Anseriformes,99,COSH
Semnopithecus entellus,Semnopithecus,Cercopithecidae,Primates,99,Bengal Gray Langur
Pteropus vampyrus,Pteropus,Pteropodidae,Chiroptera,99,Andersen's Flying Fox
